City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
656,Williston,48.147,-103.618,45.01,73,98,1.99,US,2022-02-06 19:05:00,overcast clouds
657,Voh,-20.9667,164.7,76.98,92,100,4.83,NC,2022-02-06 19:05:00,overcast clouds
658,Fuyu,45.1833,124.8167,-5.4,100,46,3.29,CN,2022-02-06 19:05:01,scattered clouds
659,Khani,41.9563,42.9566,24.37,97,100,1.9,GE,2022-02-06 19:05:01,snow
660,Baillif,16.0202,-61.7463,81.9,68,1,11.32,GP,2022-02-06 19:05:01,clear sky
661,Tarragona,41.129,1.249,53.26,55,0,1.99,ES,2022-02-06 19:05:02,clear sky
662,Chipinge,-20.1883,32.6236,64.02,91,91,2.53,ZW,2022-02-06 19:05:02,light rain
663,Ketchikan,55.3422,-131.6461,45.07,100,100,19.57,US,2022-02-06 19:05:02,light rain
664,Dufftown,57.4333,-3.1333,36.93,72,15,15.61,GB,2022-02-06 19:05:03,few clouds
665,Launceston,-41.45,147.1667,56.84,76,100,5.75,AU,2022-02-06 19:01:06,overcast clouds
666,Prague,50.088,14.4208,44.85,77,40,25.99,CZ,2022-02-06 19:05:03,scattered clouds
667,Vetlanda,57.4289,15.0776,33.67,94,100,6.31,SE,2022-02-06 19:05:04,overcast clouds
668,Redmond,47.674,-122.1215,49.87,89,8,2.71,US,2022-02-06 19:02:50,clear sky
669,Majene,-3.5403,118.9707,77.97,89,100,5.44,ID,2022-02-06 19:05:04,moderate rain
670,Impfondo,1.6381,18.0667,78.26,27,32,0.83,CG,2022-02-06 19:02:14,scattered clouds
671,Kieta,-6.2167,155.6333,79.36,83,100,7.56,PG,2022-02-06 19:05:04,overcast clouds
672,Hanzhong,33.0728,107.0303,32.11,81,100,0.81,CN,2022-02-06 19:05:05,light snow
673,Shar,49.5886,81.0453,-0.56,77,0,3.15,KZ,2022-02-06 19:00:23,clear sky
674,Santa Paula,34.3542,-119.0593,80.51,15,0,5.01,US,2022-02-06 19:05:05,clear sky
675,Adrar,20.5022,-10.0711,73.11,8,0,9.17,MR,2022-02-06 19:02:18,clear sky
676,Dagua,3.6569,-76.6886,73.83,92,97,4.63,CO,2022-02-06 19:05:06,overcast clouds
677,Nanortalik,60.1432,-45.2371,15.22,67,100,20.65,GL,2022-02-06 19:03:54,overcast clouds
678,Nuuk,64.1835,-51.7216,5.61,78,75,21.85,GL,2022-02-06 19:06:06,broken clouds
679,Uvat,59.1433,68.8953,11.61,93,100,6.53,RU,2022-02-06 19:06:06,overcast clouds
680,Karatau,43.1667,70.4667,35.13,79,84,27.27,KZ,2022-02-06 19:03:56,light snow
681,Aktash,50.3,87.7333,-14.44,64,0,5.77,RU,2022-02-06 19:02:51,clear sky
682,Ferkessedougou,9.6,-5.2,83.3,13,3,3.94,CI,2022-02-06 19:06:07,clear sky
683,Anahuac,27.2333,-100.15,58.5,27,0,5.86,MX,2022-02-06 19:06:07,clear sky
684,Tiarei,-17.5333,-149.3333,86.02,76,52,21.85,PF,2022-02-06 19:06:07,light rain
685,Oranjestad,12.524,-70.027,85.95,58,40,17.27,AW,2022-02-06 19:06:08,scattered clouds
686,Berlevag,70.8578,29.0864,21.09,85,41,18.01,NO,2022-02-06 19:03:10,scattered clouds
687,Gayeri,12.6497,0.4931,80.01,12,0,8.66,BF,2022-02-06 19:06:08,clear sky
688,Codajas,-3.8367,-62.0569,80.94,90,100,2.3,BR,2022-02-06 19:06:09,overcast clouds
689,Tessalit,20.1986,1.0114,70.7,10,0,6.76,ML,2022-02-06 19:04:04,clear sky
690,Merauke,-8.4667,140.3333,80.06,84,100,8.32,ID,2022-02-06 19:06:09,overcast clouds
691,Erenhot,43.6475,111.9767,2.64,86,6,6.33,CN,2022-02-06 19:06:09,clear sky
692,San Matias,-16.3667,-58.4,83.5,74,100,7.63,BO,2022-02-06 19:06:10,overcast clouds
693,Pultusk,52.7025,21.0828,42.06,85,100,20.49,PL,2022-02-06 19:06:10,light rain
694,Llanes,43.4198,-4.7549,51.89,70,71,8.63,ES,2022-02-06 19:06:10,broken clouds
695,Pangai,-19.8,-174.35,79.16,79,100,23.96,TO,2022-02-06 19:06:11,light rain
696,Mwinilunga,-11.7358,24.4293,62.76,97,98,3.47,ZM,2022-02-06 19:06:11,light rain
